Product Number,Description,Interior Style Recommendation,Application Recommendations
999K013,"Promise presents a near-seamless pale grey-white full-body marble that creates a serene, continuous envelope of understated luxury — perfect for spaces where calm elegance is the ultimate goal. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Minimalist luxury; spa contemporary; quiet elegance,"Open-plan living, master bathroom, bedroom floor, feature wall, boutique spa"
999KO01,"Dina Gold presents a warm golden-brown full-body marble with rich, flowing movement and a sun-kissed luxuriance that transforms flooring into a statement of natural opulence. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Warm luxury; Mediterranean modern; boutique hotel opulence,"Living room floor, feature wall, foyer, dining floor, luxury lobby"
999KO05,"Venice Gold presents a creamy ivory full-body marble with flowing golden veining that recalls the grandeur and warmth of European classical interiors — timeless, radiant and effortlessly impressive. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Classical luxury; warm contemporary; Italian-inspired grandeur,"Living room floor, feature wall, master suite, hospitality lobby, dining floor"
999KO11,"Hublot presents a refined light-grey full-body marble with soft tonal movement and a polished, quietly precise character — the kind of tile that looks better in person than any photograph can capture. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Contemporary luxury; modern masculine; hotel penthouse,"Living room floor, bathroom wall, bedroom floor, foyer, commercial spaces"
999KO16,"Stone Metal presents a dramatic cracked-stone full-body marble with bold oxidised metallic tones — a surface for interiors that refuse to be conventional. The raw energy of stone, elevated to an art form. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",High drama luxury; avant-garde contemporary; collector design,"Feature wall, statement floor, art installation backdrop, boutique retail, bar"
969K91801,"Switzerland Gold presents a cool, composed silver-grey full-body marble in an expansive 900×1800mm format, with the clean precision of alpine craftsmanship and a hotel-grade luminous finish. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Contemporary luxury; modern precision; hotel grand scale,"Grand living room floor, feature wall, lobby, master suite, open-plan dining"
969K91802,"France Gold presents a warm silver-grey full-body marble with refined natural movement in a grand 900×1800mm format, evoking the elegance and confidence of Parisian luxury interiors. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Parisian luxury; contemporary classic; premium residential,"Grand living room floor, feature wall, foyer, master bathroom, boutique lobby"
969K91805,"Italy Gold presents a warm brown-grey full-body marble with sophisticated movement and depth in a commanding 900×1800mm format, capturing the timeless gravitas of the finest Italian stone. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Italian luxury; warm contemporary; boutique hospitality,"Grand living room floor, dining floor, foyer, feature wall, luxury lobby"
999K91803,"Holland Gold presents a warm taupe-brown full-body marble with layered, flowing movement in a grand 900×1800mm format — a tile that anchors a room with quiet authority and effortless warmth. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Warm luxury; modern classic; boutique hotel presence,"Grand living room floor, master suite, foyer, feature wall, dining room"
999K91806B,"South Africa Gold presents a rich chocolate-brown full-body marble with sweeping golden veining in a dramatic 900×1800mm format — bold, anchoring and deeply luxurious for spaces that demand presence. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Dark luxury; warm opulence; hospitality statement,"Feature wall, grand living room floor, statement foyer, boutique lobby, bar"
ABYS918007,"Imperial Brown presents a commanding deep-brown full-body marble with a rich, layered depth and mineral gravitas that commands immediate attention in any grand space. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Dark luxury; collector interiors; opulent hospitality,"Feature wall, statement floor, grand foyer, master suite, boutique lobby"
ABYS9181282,"Sea View presents a dramatic deep-charcoal full-body marble with sweeping white veining that evokes the powerful contrast of coastal clifftops meeting ocean foam — restless, beautiful and deeply luxurious. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Dark contemporary luxury; modern drama; boutique hotel statement,"Feature wall, grand living floor, master bathroom, lobby, powder room"
ABYS9181337,"Fendi Gold presents a luminous cream-and-gold full-body marble with rich, swirling movement that reads as wearable, fashionable luxury scaled to architectural proportions. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Fashion-forward luxury; warm opulence; bespoke hospitality,"Feature wall, master bathroom, grand foyer, statement living room, boutique lobby"
ABYS9181338,"Provence presents a magnificent white full-body marble with bold, branching veins of sienna and gold — a surface that feels both deeply refined and powerfully expressive, like a painting in stone. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",French luxury; bold contemporary; collector interiors,"Feature wall, master bathroom, grand foyer, statement living room, boutique spa"
ABYS9181339,"Dior Blue presents an extraordinary blue-grey full-body marble with an intricate botanical crystal pattern that transcends tile and becomes pure artistic statement — for collectors and architects who dare to be different. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Artistic luxury; haute couture interiors; collector statement,"Feature wall, powder room, salon backdrop, boutique display, statement ceiling"
ABYS9181340,"Louis Brown presents a sumptuous golden-brown full-body marble with rich, layered movement — the kind of warmth and depth that makes a room feel both grand and deeply inviting, evoking the warmth of the finest ateliers. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Warm opulence; fashion luxury; boutique hotel warmth,"Grand living room floor, feature wall, master suite, foyer, dining room"
ABYS9181341,"Mocha Gold presents an extraordinary terrazzo-like full-body marble surface with multi-toned stone fragments and metallic golden highlights — architectural, bold and entirely one-of-a-kind for interiors that celebrate material richness. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Art Deco luxury; collector interiors; bold contemporary,"Feature wall, statement floor, powder room, boutique retail, dining room feature"
ABYS9181342,"Armani Noir presents a bold dark full-body marble with dramatic sweeping white veining across a near-black canvas — powerful, precise and effortlessly luxurious in the most demanding high-end spaces. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Dark luxury; fashion editorial; boutique hotel drama,"Feature wall, grand living floor, master bathroom, lobby accent, bar"
ABYS9181343,"Prada Verde presents a striking deep-green full-body marble with rich mineral movement that brings a bold, collector-quality statement to interiors that refuse to be predictable. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Dark luxury; fashion editorial; maximalist contemporary,"Feature wall, powder room, statement floor, boutique display, reception"
ABYS9181344,"Hermès Bronze presents a sophisticated warm bronze-brown full-body marble with refined veining and the quiet authority of the finest European stone traditions — timeless, warm and undeniably luxurious. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Warm luxury; classic contemporary; boutique hotel elegance,"Grand living room floor, feature wall, master suite, foyer, dining floor"
ABYS9181345,"Cartier Gold presents a luminous cream full-body marble with scattered multi-tonal movement and golden highlights that give the surface a jeweller\u2019s refinement — beautiful from every angle and at every scale. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Luxury contemporary; jewel-box interiors; bespoke residential,"Feature wall, master bathroom, grand foyer, statement living room, boutique lobby"
ABYS9181346,"Givenchy White presents a pristine white full-body marble with bold, graphic black veining for spaces that demand both drama and refinement in equal measure — a timeless choice for the most discerning interiors. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Fashion luxury; high contrast modern; collector interiors,"Feature wall, grand foyer, master bathroom, statement floor, boutique lobby"
ABYS9181347,"Venice Brown presents a warm brown-grey full-body marble with flowing, directional movement that evokes the grandeur and romance of Venetian palazzo interiors — layered, warm and timelessly beautiful. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Italian luxury; warm contemporary; boutique hotel warmth,"Grand living room floor, feature wall, master suite, foyer, dining floor"
ABYS9181348,"Celine Deep Brown presents a rich, velvety chocolate-brown full-body marble with subtle depth and mineral movement — grounded, powerful and deeply refined for interiors that value quiet confidence over noise. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Dark luxury; warm opulence; contemporary formal,"Feature wall, statement floor, master suite, boutique lobby, powder room"
ABYS9181349,"Amazon Verde presents an extraordinary teal-green full-body marble with lush, botanical-like crystalline patterning that transforms surfaces into living works of art — nature\u2019s most spectacular mineral formation, scaled for architecture. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Artistic luxury; nature-inspired opulence; collector statement,"Feature wall, powder room, boutique display, statement ceiling, salon backdrop"
ABYS9181350,"Zegna Grey presents a refined mid-grey full-body marble with elegant, flowing movement that brings quiet confidence and architectural depth to grand spaces — tailored, composed and deeply sophisticated. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Contemporary luxury; menswear-inspired modern; quiet authority,"Grand living room floor, feature wall, foyer, master suite, boutique hospitality"
918ABKR1008,"Jadeite presents a green-and-white breccia marble statement surface with a jewellery-like richness. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Art Deco luxury; boutique hospitality; collector interiors,"Feature wall, vanity top wall, powder room, kitchen island cladding"
918ABKR1009,"Laurent presents a dramatic black marble with fine gold veining for high-contrast, glamorous spaces. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Dark luxury; Art Deco; hospitality statement,"Feature wall, bar frontage, lobby wall, powder room, fireplace surround"
918ABKR1038,"Blancpain presents a taupe-grey breccia marble with layered drama and a refined warm undertone. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Quiet luxury; modern classic; upscale hospitality,"Living room feature floor, statement wall, foyer, master bathroom"
918ABKR1055,"Napoleon presents a black marble look with bold white veining that instantly anchors a room. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",High drama luxury; boutique hotel; contemporary glam,"Accent wall, powder room, reception wall, fireplace surround"
1020ABYB1125,"Arctic presents an icy white marble look with delicate linear grey veining and an expansive, reflective feel. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; formal open-plan interiors,"Living room floor, dining floor, feature wall, grand foyer, hotel-style bathroom walls"
1020ABYB1132,"Greek presents a smoky grey marble expression with layered movement and a cooler, more dramatic depth. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Boutique hotel luxury; modern masculine; contemporary penthouse,"Bedroom floor, statement living room floor, master bathroom, TV wall, reception spaces"
1020ABYB1133,"Shiyan presents a soft silver-beige stone look with travertine-style movement and a calm upscale sheen. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Quiet luxury; contemporary resort; warm modern,"Living room floor, dining area, bathroom wall, powder room, lobby floor"
612NS1421,"Custard offers a creamy biscuit-toned plain tile that softens a space and works beautifully with timber and brass. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Japandi; warm minimalism; resort contemporary,"Bathroom floor and wall, bedroom floor, living room floor, vanity backdrop"
612NS1422,"White offers a warm white plain tile with a silky, pared-back look for calm and continuous surfaces. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Minimalist; spa contemporary; modern classic,"Living room floor, bathroom floor, shower wall, pantry, gallery-like interiors"
612NS830M,"Butter offers a pale butter-cream plain tile that instantly warms an interior without reading yellow. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Soft minimalism; Japandi; Korean-inspired interiors,"Bedroom, living room, powder room, nursery, walk-in wardrobe"
612NS832M,"Truman offers a light cement-grey surface with subtle stone movement and a relaxed architectural mood. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Urban contemporary; minimalist; industrial-soft,"Living room floor, bathroom wall, study, office, feature wall"
80NS1229,"Clouds offers a warm ivory stone with very gentle tonal movement for visually seamless flooring. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Japandi; soft minimalism; resort contemporary,"Living room floor, bedroom floor, bathroom wall, open-plan spaces"
80NS1231,"Lime offers a soft light-grey surface with an ultra-clean contemporary read. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Minimalist; urban contemporary; gallery-inspired,"Living room floor, study, kitchen floor, bathroom floor"
80NS1232,"Graphite offers a pale greige stone with fine texture that adds quiet depth to larger rooms. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Quiet luxury; modern resort; soft industrial,"Living room floor, dining area, commercial lounge, covered balcony"
NS809M,"Marco offers a light grey stone with a calm, versatile surface that works especially well in minimalist palettes. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Urban contemporary; Japandi; modern office,"Living room floor, study, bathroom floor, pantry"
NS830M,"Creamy offers a soft creamy plain tile that makes small spaces feel warmer and more open. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Warm minimalism; soft contemporary; resort casual,"Bedroom floor, living room, bathroom wall, powder room"
812H1207,"Beige presents a warm beige stone with a refined polished surface and gentle natural movement. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
812H1212,"Rhine presents a cool light-grey stone with a calm, contemporary polished finish. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
812H1213,"Fish Maw presents a creamy white onyx-like surface with soft internal depth and a clean reflective face. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
812H1214,"Saanna presents a warm sand-toned stone that feels elegant yet highly livable in larger formats. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
812H1215,"Pupes presents a pale apricot-beige limestone look that adds subtle warmth without heaviness. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
812H1216,"Corona presents a gold-tinted greige stone with understated movement and a luxe polished glow. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
812H1217,"Blue Sea presents a pearly grey stone with gentle tonal shifts and a refined architectural character. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
812H1218,"Ferragamo presents a silky mid-grey stone with a sophisticated, quietly luxurious presence. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
812H1219,"Nile presents a soft grey-beige cloud stone that reads calm, upscale and very versatile. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
812H1220,"Italian presents a light silver-grey stone with misty movement and a bright hotel-luxe finish. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
812H1221,"Italian presents a deeper star-grey stone with directional depth and a more grounded mood. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
812H1222,"Cloud presents a brown-grey clouded stone that feels warm, tailored and richly neutral. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
812H1223,"Twilight presents a dramatic grey marble with flowing movement and a more expressive visual depth. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
812H1224,"Vicky presents a pale silver-grey stone with a clean, soft and highly adaptable expression. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
812H1233,"Gray presents a Volga-grey marble with broader veining for a more statement-led effect. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
812H1235,"Pure presents a near-solid white polished surface that creates a bright, expansive envelope. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
812H1314,"Grey presents a stormy grey marble-stone blend with richer movement and quiet drama. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
812H1315,"Snow presents a cool snow-grey stone with very soft, diffused movement. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
812H1426,"Snow presents a crisp white marble with faint cool veining and a clean luxe brightness. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
812H1427,"Goose presents a warm dove-grey stone with a serene, understated elegance. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; hotel-style residential,"Living room floor, dining floor, grand foyer, statement bathroom, feature wall"
918NS1420,"White offers a creamy off-white plain tile scaled for larger interiors and a very calm, monolithic finish. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Minimalist; resort contemporary; soft modern,"Open-plan living floor, dining floor, bedroom, bathroom wall"
FH6001,"Coast offers a medium grey stone tile with subtle grain, designed for practical wet-zone use without looking utilitarian. The surface is practical for wetter areas, but still reads considered and design-led rather than purely utilitarian.",Contemporary spa; modern practical; minimalist bathrooms,"Bathroom floor, shower floor, utility room, covered outdoor, commercial wet areas"
FH66801,"Butter is a warm cream-yellow anti-slip stone tile with a smooth, even surface that brings gentle warmth to any bathroom or wet space. Its soft natural tone sits beautifully between cream and pale yellow, creating an inviting and timeless ambience without visual complexity. The super wear-resistant surface delivers practical performance without sacrificing design intent.",Warm minimalist; Japandi; warm contemporary; soft Scandinavian,"Bathroom floor, shower floor, wet areas, kitchen floor, outdoor-covered areas, laundry"
FH66802,"Millet is a soft, even light-grey anti-slip stone tile with a clean, uniform surface that recedes beautifully into the background. Its understated cool tone provides the perfect neutral canvas for both warm and cool interior palettes. The super wear-resistant glaze delivers excellent traction without compromising on its composed, design-led aesthetic.",Contemporary minimalist; Japandi; cool modern; soft luxury,"Bathroom floor, shower floor, wet areas, living room floor, kitchen, open-plan spaces"
FH66812,"Brunei is a light grey stone tile with refined natural veining that suggests quality without ostentation. The subtle marbled surface adds depth and character while maintaining a restrained, sophisticated palette. The super wear-resistant anti-slip surface makes it ideal for bathrooms and wet areas where both beauty and safety are required.",Contemporary luxury; quiet marble; transitional; modern classic,"Bathroom floor, shower floor, wet areas, powder room, kitchen floor"
FH66813,"Brunei Warm Gray is a deeper, warmer interpretation of the Brunei stone, presenting a rich mid-grey tone with generous natural movement. The surface radiates a confident, grounded character that works beautifully in both residential and hospitality settings. The super wear-resistant anti-slip glaze ensures it performs as well as it looks in high-traffic wet areas.",Modern luxury; sophisticated grey; dark contemporary; boutique hotel,"Bathroom floor, shower floor, wet areas, feature floor, powder room"
FH6003,"Rain Coffee is a distinctive dark grey stone tile with pronounced linear striations that evoke the look of natural slate washed in rain. The directional grain creates a dramatic, textured floor surface with real visual personality. The super wear-resistant anti-slip surface makes it ideal for high-traffic wet areas without sacrificing its striking, designer aesthetic.",Industrial modern; bold contemporary; organic luxury; designer bathroom,"Bathroom floor, shower floor, wet areas, outdoor-covered areas, commercial spaces"
FH6005,"Yunsha — Cloud Sand — is an ethereally light grey anti-slip stone tile with a barely-there texture that reads almost like pale sand. Its quiet, airy tone creates an effortlessly open atmosphere wherever it is laid. The single-faced natural cut surface delivers subtle tonal variation, and the anti-slip performance makes it practical for bathrooms, wet rooms, and covered outdoor areas.",Minimalist; Japandi; airy contemporary; soft modern,"Bathroom floor, shower floor, wet areas, living room floor, outdoor-covered areas"
FH66820,"Travertino offers a compact-format beige travertine tile suited to smaller bathrooms and wet areas needing more grip. The surface is practical for wetter areas, but still reads considered and design-led rather than purely utilitarian.",Spa contemporary; soft modern,"Bathroom floor, shower floor, powder room, niche cladding"
FH66832,"Truman offers a cool light-grey stone tile with a clean, practical feel for modern bathrooms. The surface is practical for wetter areas, but still reads considered and design-led rather than purely utilitarian.",Urban modern; minimalist; contemporary spa,"Bathroom floor, shower area, utility room, covered outdoor wet zone"
612F1058,"White offers a clean off-white surface with almost no visual noise, designed to create a seamless, airy envelope. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Japandi; quiet luxury; gallery minimalism,"Living room floor, bedroom floor, walk-in wardrobe, wall cladding, calm open-plan interiors"
612F1078,"Stone offers a light beige travertine-inspired surface with subtle layered movement and understated warmth. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Warm contemporary; modern Mediterranean; quiet luxury,"Living room floor, bathroom wall, bedroom floor, covered balcony, feature wall"
612F809,"Gray offers a muted grey cement-stone blend with an understated designer neutrality. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Contemporary minimalism; industrial-soft; modern urban,"Living room floor, kitchen floor, studio spaces, bathroom floor, feature wall"
612F1266,"Luna offers a pale greige minimalist stone with a powdery architectural look and gentle tonal variation. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Minimalist; Japandi; urban contemporary,"Living room floor, bedroom floor, study, bathroom wall, retail/gallery spaces"
612NS812,"Brunei offers a taupe-grey stone with soft clouding that adds depth while staying highly versatile. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Wabi-sabi modern; contemporary resort; earthy luxury,"Living room floor, outdoor covered terrace, bathroom floor, commercial lounge"
FH612820,"Travertino offers a light beige travertine look with vertical movement that feels warm, spa-like and easy to layer. The surface is practical for wetter areas, but still reads considered and design-led rather than purely utilitarian.",Spa contemporary; modern Mediterranean; warm minimalism,"Bathroom wall, shower wall, vanity backdrop, powder room"
715SR1075,"Roman offers a white cave-stone / travertine look with fine texture and a relaxed architectural softness. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Japandi; Mediterranean minimalism; warm contemporary,"Living room floor, bedroom floor, bathroom wall, covered patio"
715SRJ1058,"White offers a creamy off-white minimal surface that creates continuity and serenity across larger areas. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Minimalist; spa contemporary; quiet luxury,"Living room floor, bedroom, bathroom wall, walk-in wardrobe"
715SRJ1071,"Gray offers a pale architectural grey with just enough movement to keep minimalist spaces from feeling stark. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Urban contemporary; Japandi; gallery modern,"Living room floor, study, bathroom floor, wall cladding"
715SRJ1078,"Travertine offers an ivory travertine-inspired tile with gentle cross-cut movement and a soft limestone warmth. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Mediterranean modern; warm minimalist; quiet luxury,"Living room floor, bedroom, vanity wall, powder room"
918SR1029,"Mattella offers a light grey sand-stone surface with a refined, architectural softness. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Contemporary minimalism; urban modern; quiet luxury,"Living room floor, terrace (covered), study, bathroom floor"
918SR1075,"Roman offers a white cave-stone / travertine look in an extra-large format for broad, luxurious flooring. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Warm minimalism; Mediterranean contemporary; quiet luxury,"Living room floor, foyer, bedroom, hospitality lounge"
918SR1076,"Roman offers a beige travertine look with soft linear movement that pairs beautifully with walnut and bronze. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Warm contemporary; resort luxury; modern Mediterranean,"Living room floor, dining floor, bathroom wall, boutique retail"
918SR1077,"Roman offers a yellow-beige travertine look that brings a sun-washed, resort-style warmth. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Mediterranean modern; warm minimalism; resort interiors,"Living room floor, bedroom floor, bathroom wall, covered balcony"
918YBF1466,"Yellow offers a creamy beige plain tile that brightens large rooms while keeping the palette soft and grounded. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Japandi; warm contemporary; quiet luxury,"Open-plan floor, bedroom, family room, bathroom floor"
YBHJ9181258,"Elegance offers a soft white stone with very delicate movement, ideal for clean luxury schemes that still feel welcoming. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Quiet luxury; modern classic; spa-inspired minimalism,"Living room floor, bedroom, bathroom wall, gallery-like interiors"
MW612019,"Sandalwood reads as a deep sandalwood / brown chevron timber that adds richness and tailored warmth, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Japandi; warm contemporary; boutique residential,"Bedroom floor, living room floor, study, wardrobe, feature wall"
MW612028,"Sweet reads as a maple-toned chevron wood with a sunny, welcoming softness, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Japandi; warm contemporary; boutique residential,"Bedroom floor, living room floor, study, wardrobe, feature wall"
MW6121073,"Walnut reads as a dark walnut plank with elegant linear grain and a more formal tone, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Japandi; warm contemporary; boutique residential,"Bedroom floor, living room floor, study, wardrobe, feature wall"
MW6121335,"Maple reads as a pale maple timber that keeps interiors light, soft and hotel-like, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Japandi; warm contemporary; boutique residential,"Bedroom floor, living room floor, study, wardrobe, feature wall"
MW6121336,"Maple reads as a warm maple tone with more golden depth and an inviting residential warmth, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Japandi; warm contemporary; boutique residential,"Bedroom floor, living room floor, study, wardrobe, feature wall"
MW6121440,"Fir reads as a very light fir-like timber with a calm, almost Scandinavian restraint, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Japandi; warm contemporary; boutique residential,"Bedroom floor, living room floor, study, wardrobe, feature wall"
MW6121441,"Log reads as a cream log / raw timber look that feels soft, natural and easy to style, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Japandi; warm contemporary; boutique residential,"Bedroom floor, living room floor, study, wardrobe, feature wall"
MW6121442,"Elm reads as an elegant elm wood tone with balanced warmth and subtle grain, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Japandi; warm contemporary; boutique residential,"Bedroom floor, living room floor, study, wardrobe, feature wall"
MW6121443,"Cherry reads as a North American cherry tone with a brighter, golden-red timber warmth, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Japandi; warm contemporary; boutique residential,"Bedroom floor, living room floor, study, wardrobe, feature wall"
MW6121444,"Walnut reads as a California walnut look with grounded mid-brown sophistication, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Japandi; warm contemporary; boutique residential,"Bedroom floor, living room floor, study, wardrobe, feature wall"
MW612310J,"Maple reads as a maple wood tone with a clean, refined grain suited to quieter interiors, giving the warmth of timber with the maintenance ease of porcelain. It is especially effective where you want a softer, more residential atmosphere without losing durability.",Japandi; warm contemporary; boutique residential,"Bedroom floor, living room floor, study, wardrobe, feature wall"
